#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_4_hCoV-19/Sichuan/SNCDC-CX0115/2024|EPI_ISL_19550479|2024-07-24_hCoV-19/Spain/CT-LabRefCat-1633485/2021|EPI_ISL_4279299|2021-05-25_X0	(0,670)	(4321,6183)	hCoV-19/Sichuan/SNCDC-CX0115/2024|EPI_ISL_19550479|2024-07-24	y	121	hCoV-19/Spain/CT-LabRefCat-1633485/2021|EPI_ISL_4279299|2021-05-25	y	14	12	12	0
RECOMB_1_6_hCoV-19/India/TN-CBR-SEQ-10530/2021|EPI_ISL_9366450|2021-11-09_hCoV-19/Tianjin/TJCDC-0012/2021|EPI_ISL_16922608|2021-12-25_X0	(0,210)	(16466,19220)	hCoV-19/India/TN-CBR-SEQ-10530/2021|EPI_ISL_9366450|2021-11-09	y	52	hCoV-19/Tianjin/TJCDC-0012/2021|EPI_ISL_16922608|2021-12-25	y	16	16	16	0
RECOMB_1_11_hCoV-19/Tonga/23YA0885/2023|EPI_ISL_18236532|2023-01-24_hCoV-19/Pakistan/NIH-B118-S9/2023|EPI_ISL_16905157|2023-01-25_X0	(0,241)	(4586,4871)	hCoV-19/Tonga/23YA0885/2023|EPI_ISL_18236532|2023-01-24	y	29	hCoV-19/Pakistan/NIH-B118-S9/2023|EPI_ISL_16905157|2023-01-25	y	10	10	10	0
RECOMB_1_10_hCoV-19/Zhejiang/SKLID_ZJU-S99/2023|EPI_ISL_17999290|2023-06-07_hCoV-19/India/MH_BJCOG_INSACOG_6669/2024|EPI_ISL_19071000|2024-03-22_X0	(0,405)	(26577,26833)	hCoV-19/Zhejiang/SKLID_ZJU-S99/2023|EPI_ISL_17999290|2023-06-07	y	12	hCoV-19/India/MH_BJCOG_INSACOG_6669/2024|EPI_ISL_19071000|2024-03-22	y	85	11	11	1
RECOMB_1_10_hCoV-19/Zhejiang/SKLID_ZJU-S99/2023|EPI_ISL_17999290|2023-06-07_hCoV-19/India/MH_BJCOG_INSACOG_6669/2024|EPI_ISL_19071000|2024-03-22_X0	(0,405)	(26709,26833)	hCoV-19/Zhejiang/SKLID_ZJU-S99/2023|EPI_ISL_17999290|2023-06-07	y	12	hCoV-19/India/MH_BJCOG_INSACOG_6669/2024|EPI_ISL_19071000|2024-03-22	y	85	11	11	1
RECOMB_1_10_hCoV-19/Zhejiang/SKLID_ZJU-S99/2023|EPI_ISL_17999290|2023-06-07_hCoV-19/India/MH_BJCOG_INSACOG_6669/2024|EPI_ISL_19071000|2024-03-22_X0	(26610,26681)	(29648,GENOME_SIZE)	hCoV-19/India/MH_BJCOG_INSACOG_6669/2024|EPI_ISL_19071000|2024-03-22	y	85	hCoV-19/Zhejiang/SKLID_ZJU-S99/2023|EPI_ISL_17999290|2023-06-07	y	12	11	11	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(17410,19200)	(28881,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26	y	28	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(17410,19200)	(28882,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26	y	28	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(17410,19200)	(28883,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26	y	28	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(17410,18492)	(28958,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/AntiguaandBarbuda/144861/2022|EPI_ISL_13454177|2022-04-24	y	55	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(17410,19200)	(28367,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26	y	28	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(17410,18163)	(29510,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Anhui/235/2020|EPI_ISL_1069218|2020-02-05	y	98	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(18163,18492)	(29510,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/AntiguaandBarbuda/144861/2022|EPI_ISL_13454177|2022-04-24	y	55	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(18492,19200)	(29510,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26	y	28	15	15	1
RECOMB_1_17_hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26_hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06_X0	(18492,19200)	(28958,GENOME_SIZE)	hCoV-19/India/MH-ICMR-NIV-243249/2024|EPI_ISL_19459310|2024-08-06	y	35	hCoV-19/Coted-Ivoire/BKE2340-bc31/2021|EPI_ISL_3545641|2021-02-26	y	28	15	15	1
RECOMB_1_8_hCoV-19/India/MH_BJCOG_INSACOG_6879/2024|EPI_ISL_19336966|2024-07-24_hCoV-19/India/KL-GENESCOV02702/2021|EPI_ISL_7220631|2021-03-26_X0	(0,177)	(10449,11042)	hCoV-19/India/MH_BJCOG_INSACOG_6879/2024|EPI_ISL_19336966|2024-07-24	y	127	hCoV-19/India/KL-GENESCOV02702/2021|EPI_ISL_7220631|2021-03-26	y	25	24	24	0
RECOMB_1_12_hCoV-19/Japan/RIMD16315/2022|EPI_ISL_16288607|2022-08-01_hCoV-19/Sichuan/YACDC-XGCX005/2024|EPI_ISL_18947848|2024-01-22_X0	(0,670)	(15714,15756)	hCoV-19/Japan/RIMD16315/2022|EPI_ISL_16288607|2022-08-01	y	59	hCoV-19/Sichuan/YACDC-XGCX005/2024|EPI_ISL_18947848|2024-01-22	y	19	10	10	0
RECOMB_1_12_hCoV-19/Japan/RIMD16315/2022|EPI_ISL_16288607|2022-08-01_hCoV-19/Sichuan/YACDC-XGCX005/2024|EPI_ISL_18947848|2024-01-22_X0	(0,670)	(14408,15756)	hCoV-19/Japan/RIMD16315/2022|EPI_ISL_16288607|2022-08-01	y	59	hCoV-19/Sichuan/YACDC-XGCX005/2024|EPI_ISL_18947848|2024-01-22	y	19	10	10	0
RECOMB_1_12_hCoV-19/Japan/RIMD16315/2022|EPI_ISL_16288607|2022-08-01_hCoV-19/Sichuan/YACDC-XGCX005/2024|EPI_ISL_18947848|2024-01-22_X0	(13339,15756)	(28958,GENOME_SIZE)	hCoV-19/Sichuan/YACDC-XGCX005/2024|EPI_ISL_18947848|2024-01-22	y	19	hCoV-19/Japan/RIMD16315/2022|EPI_ISL_16288607|2022-08-01	y	59	10	10	0
