#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_2_2_hCoV-19/Thailand/MTM_01_1228/2023|EPI_ISL_19112363|2023-12-18_hCoV-19/Pakistan/JRCGR_SCV-99_QTA-03/2021|EPI_ISL_2466732|2021-02-01_X0	(1807,1807)	(14408,15451)	hCoV-19/Pakistan/JRCGR_SCV-99_QTA-03/2021|EPI_ISL_2466732|2021-02-01	y	99	hCoV-19/Thailand/MTM_01_1228/2023|EPI_ISL_19112363|2023-12-18	y	24	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26681,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(27383,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26610,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26858,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(27807,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26270,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(28271,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(25566,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(26060,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(13339,14408)	(27810,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(25584,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26681,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(27810,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26610,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(27259,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(28271,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(27382,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26833,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26577,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26858,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(25566,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(27384,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26529,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26060,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(27383,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26270,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(27807,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_0_hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03_hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15_X0	(14429,14429)	(26709,28297)	hCoV-19/El_Salvador/94-24-LNSP/2024|EPI_ISL_18899123|2024-01-15	y	30	hCoV-19/Hubei/HCDC-JZ5484/2024|EPI_ISL_19193471|2024-06-03	y	21	15	15	3
RECOMB_2_3_hCoV-19/India/PB-NCDC-390992/2021|EPI_ISL_4474065|2021-06-02_hCoV-19/USA/TX-HMH-2930/2020|EPI_ISL_543871|2020-06-09_X0	(9053,9053)	(29421,29742)	hCoV-19/USA/TX-HMH-2930/2020|EPI_ISL_543871|2020-06-09	y	13	hCoV-19/India/PB-NCDC-390992/2021|EPI_ISL_4474065|2021-06-02	y	30	12	12	4
RECOMB_2_7_hCoV-19/Indonesia/SA-GS-NIHRD-WGS11754/2021|EPI_ISL_4730604|2021-08-22_hCoV-19/Liaoning/LNCDC-045-3/2024|EPI_ISL_18876891|2024-01-23_X0	(11418,11727)	(21711,21941)	hCoV-19/Liaoning/LNCDC-045-3/2024|EPI_ISL_18876891|2024-01-23	y	110	hCoV-19/Indonesia/SA-GS-NIHRD-WGS11754/2021|EPI_ISL_4730604|2021-08-22	y	25	24	24	4
RECOMB_2_7_hCoV-19/Indonesia/SA-GS-NIHRD-WGS11754/2021|EPI_ISL_4730604|2021-08-22_hCoV-19/Liaoning/LNCDC-045-3/2024|EPI_ISL_18876891|2024-01-23_X0	(11418,11418)	(21711,21941)	hCoV-19/Liaoning/LNCDC-045-3/2024|EPI_ISL_18876891|2024-01-23	y	110	hCoV-19/Indonesia/SA-GS-NIHRD-WGS11754/2021|EPI_ISL_4730604|2021-08-22	y	25	24	24	4
RECOMB_2_4_hCoV-19/Canada/BC_13297/2020|EPI_ISL_415578|2020-02-27_hCoV-19/Curacao/CW-RIVM-117653/2022|EPI_ISL_15849306|2022-10-24_X0	(10029,10198)	(18163,19955)	hCoV-19/Curacao/CW-RIVM-117653/2022|EPI_ISL_15849306|2022-10-24	y	71	hCoV-19/Canada/BC_13297/2020|EPI_ISL_415578|2020-02-27	y	15	11	11	3
RECOMB_2_6_hCoV-19/India/MH_BJCOG_INSACOG_6880/2024|EPI_ISL_19336967|2024-07-26_hCoV-19/Henan/LHCDC-0305/2023|EPI_ISL_18508515|2023-09-25_X0	(22034,22109)	(25000,25207)	hCoV-19/Henan/LHCDC-0305/2023|EPI_ISL_18508515|2023-09-25	y	66	hCoV-19/India/MH_BJCOG_INSACOG_6880/2024|EPI_ISL_19336967|2024-07-26	y	35	23	23	4
RECOMB_2_6_hCoV-19/India/MH_BJCOG_INSACOG_6880/2024|EPI_ISL_19336967|2024-07-26_hCoV-19/Henan/LHCDC-0305/2023|EPI_ISL_18508515|2023-09-25_X0	(22034,22109)	(24469,24990)	hCoV-19/Henan/LHCDC-0305/2023|EPI_ISL_18508515|2023-09-25	y	66	hCoV-19/India/MH_BJCOG_INSACOG_6880/2024|EPI_ISL_19336967|2024-07-26	y	35	23	23	4
RECOMB_2_6_hCoV-19/India/MH_BJCOG_INSACOG_6880/2024|EPI_ISL_19336967|2024-07-26_hCoV-19/Henan/LHCDC-0305/2023|EPI_ISL_18508515|2023-09-25_X0	(22034,22109)	(24424,25207)	hCoV-19/Henan/LHCDC-0305/2023|EPI_ISL_18508515|2023-09-25	y	66	hCoV-19/India/MH_BJCOG_INSACOG_6880/2024|EPI_ISL_19336967|2024-07-26	y	35	23	23	4
RECOMB_2_11_hCoV-19/Yunnan/YN-34/2021|EPI_ISL_2896218|2021-07-08_hCoV-19/Indonesia/YO-GS-21.36042/2021|EPI_ISL_4969082|2021-08-31_X0	(7124,8986)	(16289,19220)	hCoV-19/Indonesia/YO-GS-21.36042/2021|EPI_ISL_4969082|2021-08-31	y	25	hCoV-19/Yunnan/YN-34/2021|EPI_ISL_2896218|2021-07-08	y	16	15	15	5
RECOMB_2_11_hCoV-19/Yunnan/YN-34/2021|EPI_ISL_2896218|2021-07-08_hCoV-19/Indonesia/YO-GS-21.36042/2021|EPI_ISL_4969082|2021-08-31_X0	(7124,8986)	(16466,19220)	hCoV-19/Indonesia/YO-GS-21.36042/2021|EPI_ISL_4969082|2021-08-31	y	25	hCoV-19/Yunnan/YN-34/2021|EPI_ISL_2896218|2021-07-08	y	16	15	15	5
RECOMB_2_11_hCoV-19/Yunnan/YN-34/2021|EPI_ISL_2896218|2021-07-08_hCoV-19/Indonesia/YO-GS-21.36042/2021|EPI_ISL_4969082|2021-08-31_X0	(7124,8986)	(20239,20262)	hCoV-19/Indonesia/YO-GS-21.36042/2021|EPI_ISL_4969082|2021-08-31	y	25	hCoV-19/Yunnan/YN-34/2021|EPI_ISL_2896218|2021-07-08	y	18	15	15	5
RECOMB_2_14_hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19_hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04_X0	(405,2334)	(25572,26234)	hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	14	hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19	y	57	13	13	3
RECOMB_2_14_hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19_hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04_X0	(405,2334)	(25584,26234)	hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	14	hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19	y	57	13	13	3
RECOMB_2_14_hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19_hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04_X0	(405,2334)	(26577,26612)	hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	14	hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19	y	57	13	13	3
RECOMB_2_14_hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19_hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04_X0	(405,2334)	(26275,26612)	hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	14	hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19	y	57	13	13	3
RECOMB_2_14_hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19_hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04_X0	(405,2334)	(26270,26612)	hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	14	hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19	y	57	13	13	3
RECOMB_2_14_hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19_hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04_X0	(405,2334)	(26060,26234)	hCoV-19/South_Korea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	14	hCoV-19/India/JK-VRDL-GMCS-VB8156/2023|EPI_ISL_19552304|2023-10-19	y	57	13	13	3
RECOMB_2_10_hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_X0	(18894,20055)	(23525,24378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	39	hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06	y	37	14	14	3
RECOMB_2_10_hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_X0	(18894,20055)	(23948,24378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	39	hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06	y	37	14	14	3
RECOMB_2_10_hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_X0	(18894,20055)	(23854,24378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	39	hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06	y	37	14	14	3
RECOMB_2_10_hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_X0	(18894,20055)	(23604,24378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	39	hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06	y	37	14	14	3
RECOMB_2_10_hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_X0	(18894,20055)	(23599,24378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	39	hCoV-19/Botswana/R191B71_BHP_AAC91476/2022|EPI_ISL_15928238|2022-07-06	y	37	14	14	3
