#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_18_hCoV-19/env/India/MH-NCL-138-06/2024|EPI_ISL_19212672|2024-02-06_hCoV-19/Austria/CeMM3002/2021|EPI_ISL_11229477|2021-01-05_X0	(670,670)	(18492,20268)	hCoV-19/env/India/MH-NCL-138-06/2024|EPI_ISL_19212672|2024-02-06	y	12	hCoV-19/Austria/CeMM3002/2021|EPI_ISL_11229477|2021-01-05	y	35	12	12	1
RECOMB_1_3_hCoV-19/Liaoning/IVDC-DL-90/2021|EPI_ISL_8653783|2021-11-12_hCoV-19/Iraq/Erbil-22/2022|EPI_ISL_16282883|2022-03-03_X0	(0,174)	(24469,24503)	hCoV-19/Liaoning/IVDC-DL-90/2021|EPI_ISL_8653783|2021-11-12	y	28	hCoV-19/Iraq/Erbil-22/2022|EPI_ISL_16282883|2022-03-03	y	54	22	22	2
RECOMB_1_3_hCoV-19/Liaoning/IVDC-DL-90/2021|EPI_ISL_8653783|2021-11-12_hCoV-19/Iraq/Erbil-22/2022|EPI_ISL_16282883|2022-03-03_X0	(0,174)	(23604,24469)	hCoV-19/Liaoning/IVDC-DL-90/2021|EPI_ISL_8653783|2021-11-12	y	28	hCoV-19/CentralAfricanRepublic/RCA-043/2022|EPI_ISL_10854845|2022-01-03	y	24	22	22	2
RECOMB_1_4_hCoV-19/Hubei/HCDC-ES5672/2024|EPI_ISL_19234352|2024-06-15_hCoV-19/Jiangxi/JXJJ-092/2023|EPI_ISL_17794518|2023-04-29_X0	(0,241)	(12815,13339)	hCoV-19/Hubei/HCDC-ES5672/2024|EPI_ISL_19234352|2024-06-15	y	72	hCoV-19/Jiangxi/JXJJ-092/2023|EPI_ISL_17794518|2023-04-29	y	19	18	18	1
RECOMB_1_4_hCoV-19/Hubei/HCDC-ES5672/2024|EPI_ISL_19234352|2024-06-15_hCoV-19/Jiangxi/JXJJ-092/2023|EPI_ISL_17794518|2023-04-29_X0	(0,241)	(12880,13339)	hCoV-19/Hubei/HCDC-ES5672/2024|EPI_ISL_19234352|2024-06-15	y	72	hCoV-19/Jiangxi/JXJJ-092/2023|EPI_ISL_17794518|2023-04-29	y	19	18	18	1
RECOMB_1_4_hCoV-19/Hubei/HCDC-ES5672/2024|EPI_ISL_19234352|2024-06-15_hCoV-19/Jiangxi/JXJJ-092/2023|EPI_ISL_17794518|2023-04-29_X0	(12815,12880)	(29386,GENOME_SIZE)	hCoV-19/Jiangxi/JXJJ-092/2023|EPI_ISL_17794518|2023-04-29	y	19	hCoV-19/Hubei/HCDC-ES5672/2024|EPI_ISL_19234352|2024-06-15	y	72	18	18	1
RECOMB_1_6_hCoV-19/India/GJ-INSACOG-GBRC3443/2021|EPI_ISL_8109044|2021-12-15_hCoV-19/Hubei/HCDC-JZ5850/2024|EPI_ISL_19266883|2024-07-03_X0	(0,241)	(14408,15240)	hCoV-19/India/GJ-INSACOG-GBRC3443/2021|EPI_ISL_8109044|2021-12-15	y	75	hCoV-19/Hubei/HCDC-JZ5850/2024|EPI_ISL_19266883|2024-07-03	y	29	12	12	1
RECOMB_1_14_hCoV-19/Panama/PA752345-GMI/2021|EPI_ISL_11686388|2021-06-10_hCoV-19/Guangdong/6176/2021|EPI_ISL_16138163|2021-06-01_X0	(0,241)	(10029,10969)	hCoV-19/Panama/PA752345-GMI/2021|EPI_ISL_11686388|2021-06-10	y	48	hCoV-19/Guangdong/6176/2021|EPI_ISL_16138163|2021-06-01	y	14	13	13	2
RECOMB_1_14_hCoV-19/Panama/PA752345-GMI/2021|EPI_ISL_11686388|2021-06-10_hCoV-19/Guangdong/6176/2021|EPI_ISL_16138163|2021-06-01_X0	(10029,11418)	(29402,GENOME_SIZE)	hCoV-19/Guangdong/6176/2021|EPI_ISL_16138163|2021-06-01	y	14	hCoV-19/Panama/PA752345-GMI/2021|EPI_ISL_11686388|2021-06-10	y	48	13	13	2
RECOMB_1_10_hCoV-19/Yunnan/RLC30/2021|EPI_ISL_13005093|2021-03-31_hCoV-19/South_Korea/KDCA296223/2024|EPI_ISL_19531709|2024-10-04_X0	(0,241)	(24378,24424)	hCoV-19/Yunnan/RLC30/2021|EPI_ISL_13005093|2021-03-31	y	42	hCoV-19/South_Korea/KDCA296223/2024|EPI_ISL_19531709|2024-10-04	y	92	12	12	2
RECOMB_1_10_hCoV-19/Yunnan/RLC30/2021|EPI_ISL_13005093|2021-03-31_hCoV-19/South_Korea/KDCA296223/2024|EPI_ISL_19531709|2024-10-04_X0	(23948,24378)	(29108,GENOME_SIZE)	hCoV-19/South_Korea/KDCA296223/2024|EPI_ISL_19531709|2024-10-04	y	92	node_464	n	38	12	12	2
RECOMB_1_9_hCoV-19/Iran/S211/2021|EPI_ISL_15755149|2021-05-07_hCoV-19/South_Korea/KDCA0127/2020|EPI_ISL_747362|2020-10-05_X0	(0,745)	(16176,20675)	hCoV-19/Iran/S211/2021|EPI_ISL_15755149|2021-05-07	y	26	hCoV-19/South_Korea/KDCA0127/2020|EPI_ISL_747362|2020-10-05	y	17	14	14	2
RECOMB_1_9_hCoV-19/Iran/S211/2021|EPI_ISL_15755149|2021-05-07_hCoV-19/South_Korea/KDCA0127/2020|EPI_ISL_747362|2020-10-05_X0	(17140,18027)	(29665,GENOME_SIZE)	hCoV-19/South_Korea/KDCA0127/2020|EPI_ISL_747362|2020-10-05	y	17	hCoV-19/Iran/S211/2021|EPI_ISL_15755149|2021-05-07	y	26	14	14	2
RECOMB_1_12_hCoV-19/India/TG-CCMB-AG347/2020|EPI_ISL_910116|2020-08-31_hCoV-19/Heilongjiang/HLJCDC-1795/2024|EPI_ISL_19475201|2024-08-25_X0	(0,241)	(22992,22995)	hCoV-19/India/TG-CCMB-AG347/2020|EPI_ISL_910116|2020-08-31	y	46	hCoV-19/Heilongjiang/HLJCDC-1795/2024|EPI_ISL_19475201|2024-08-25	y	74	8	8	2
RECOMB_1_12_hCoV-19/India/TG-CCMB-AG347/2020|EPI_ISL_910116|2020-08-31_hCoV-19/Heilongjiang/HLJCDC-1795/2024|EPI_ISL_19475201|2024-08-25_X0	(22942,22992)	(29200,GENOME_SIZE)	hCoV-19/Heilongjiang/HLJCDC-1795/2024|EPI_ISL_19475201|2024-08-25	y	74	hCoV-19/India/TG-CCMB-AG347/2020|EPI_ISL_910116|2020-08-31	y	46	8	8	2
